Paper,Year,Bosu2016_57extra,Liebchen2010,RosliTemperoLuxton-Reilly2013,Bosu2016_LitRev,Snowballing,Quantitative,Qualitative,Data collection,Manual noise checking,Automatic noise checking,Empirical analysis of quality,Data quality meta-data,Is noise a problem?,Quality incl defects,"Cost incl productivity, schedule",Other problem domain
Walkinshaw2013.pdf,2013,,,,x,,Y,Y,,,,,,Y,Y,,
CoutoMontandonSilvaValente2013.pdf,2013,,,,x,,,Y,Y,Y,,,,n.a.,Y,,
Raja2013.pdf,2013,,,,x,,,Y,,,,,,Y,Y,,
CapiluppiIzquierdo-CortÃ¡zar2013.pdf,2013,,,,x,,Y,,,,,,,Y,,Y,
CorazzaDiMartinoFerrucciGravinoSarroMendes2013.pdf,2013,,,,x,,Y,,,,,,,Y,,Y,
DejaegerVerbrakenBaesens2013.pdf,2013,,,,x,,Y,,,,,,,Y,,Y,
KhatibiBardsiriJawawiHashimKhatibi2013.pdf,2013,,,,x,,Y,,,,,,Y,Y,,Y,
KocaguneliMenzies2013.pdf,2013,,,,x,,Y,,,,,,,Y,,Y,
KocaguneliMenziesKeung2013.pdf,2013,,,,x,,Y,,,,,,,Y,,Y,
MinkuYao2013.pdf,2013,,,,x,,Y,,,,,,Y,Y,,Y,
MittasAngelis2013.pdf,2013,,,,x,,Y,,,,,,Y,Y,,Y,
ShihabKamaiAdamsHassan2013.pdf,2013,,,,x,,Y,,,,,,,Y,,Y,
SongMinkuYao2013.pdf,2013,,,,x,,Y,,,,,,,Y,,Y,
CalikliBener2013.pdf,2013,,,,x,,Y,,,,,,,Y,Y,,
SeoBaeJeffery2013.pdf,2013,,,,x,,Y,,,,,,Y,Y,,,
ValverdeVallespirMarottaPanach2014.pdf,2014,,,,,x,Y,Y,,,,Y,,Y,Y,Y,Y
ShiraiNicholsKasunic2014.pdf,2014,,,,,x,Y,Y,,Y,,Y,,Y,,,Y
MiranskyyCaglayanBenerCialini2014.pdf,2014,,,,x,,Y,Y,,Y,,,,Y,Y,,
